movieId,title,genres,director,actors
1,Toy Story,Animation|Children|Comedy,John Lasseter,Tom Hanks|Tim Allen|Don Rickles
2,Jumanji,Adventure|Children|Fantasy,Joe Johnston,Robin Williams|Jonathan Hyde|Kirsten Dunst
3,Grumpier Old Men,Comedy|Romance,Howard Deutch,Walter Matthau|Jack Lemmon|Ann-Margret
4,Waiting to Exhale,Comedy|Drama|Romance,Forest Whitaker,Angela Bassett|Loretta Devine|Whitney Houston
5,Father of the Bride Part II,Comedy,Charles Shyer,Steve Martin|Diane Keaton|Martin Short
6,Heat,Action|Crime|Thriller,Michael Mann,Al Pacino|Robert De Niro|Val Kilmer
7,GoldenEye,Action|Adventure|Thriller,Martin Campbell,Pierce Brosnan|Sean Bean|Izabella Scorupco
8,American President,Comedy|Drama|Romance,Rob Reiner,Michael Douglas|Annette Bening|Martin Sheen
9,Dracula: Dead and Loving It,Comedy,Hugh Johnson,Leslie Nielsen|Mel Brooks|Amy Yasbeck
10,Babe,Children|Drama,Chris Noonan,James Cosmo|Magda Szubanski|Christine Cavanaugh
